strain	mip_mean	wgs_mean	d_signed	d_abs	alr	rho_s	min_r	boot_partner	nn_ibs	nn_partner	mean_ibs	well_posed
CX11271	0.006787828820899028	0.007169040541920021	3.8121172102099286e-4	0.0013065586375325155	0.3145352919459037	0.8367956615683789	-0.16536752543239566	LKC34	0.9668026682209702	CX11292	0.92960499768349	FALSE
CX11254	0.005636106122738035	0.004916164108623164	-7.199420141148711e-4	0.0012899174764080502	0.6165764423903265	0.9529995848956794	-0.2249331082719268	CX11264	0.9583230792478898	CX11264	0.9127572574718784	TRUE
JU2017	0.007881762389102057	0.008578808816739291	6.970464276372339e-4	0.0012343574848923	0.2291035586359919	0.9160079051383399	-0.20582530201041477	JU2811	NA	NA	NA	FALSE
JU258	0.01746865454331177	0.01683109638031001	-6.375581630017594e-4	0.0012271593779131131	0.06559249772575414	0.9792490118577075	-0.15177787292979783	WN2001	NA	NA	NA	FALSE
JU2001	0.001201608273851685	0	-0.001201608273851685	0.001201608273851685	9.641112622070999	NA	-0.034800633214684386	DL200	0.9334973987004296	JU3137	0.9061493728050796	TRUE
CX11307	0.01044666263152846	0.009892672999486617	-5.539896320418447e-4	0.001183716425472671	0.12168711078516382	0.9752964426877471	-0.21457992741813772	MY2741	NA	NA	NA	FALSE
ECA396	0.020448379042979924	0.020989702850441636	5.413238074617114e-4	0.0011812695009887216	0.07824887180856367	0.992094861660079	-0.6614762058957349	ECA191	0.7912095503313689	MY2530	0.7774083369067751	FALSE
ECA191	0.004076086126116334	0.004924024725327535	8.47938599211201e-4	0.0011393663269741578	0.4902127133534456	0.8873517786561266	-0.6614762058957349	ECA396	NA	NA	NA	FALSE
ECA36	0.0034386462200969724	0.004468155916527503	0.0010295096964305307	0.0010914234991665512	1.473508559065152	0.8507905138339921	-0.5669321627195016	ECA363	0.9305917146989616	QX1211	0.7581703824713195	TRUE
QG2075	0.004608079308157993	0.004946959461284066	3.3888015312607373e-4	0.0010742156760292965	0.32629402448578687	0.9140316205533597	-0.13570521689072101	WN2001	0.9355525332987932	JU2007	0.9070706629433894	TRUE
NIC251	0.011369158667236904	0.011912832945278659	5.436742780417549e-4	0.00106429884906943	0.13373047794660817	0.9851778656126483	-0.3275789943352908	NIC195	0.8926148997258382	NIC195	0.8562449903156215	TRUE
QX1791	0.010308591310447984	0.009368783363046605	-9.398079474013794e-4	0.00098517107315507311	0.17021849170341632	0.986109474438024	-0.12329160198748745	QX1792	0.887356172959437	MY2530	0.8678432519176194	FALSE
NIC268	0.0039585336853211976	0.003001854979164806	-9.566787061563917e-4	9.651544608039475e-4	0.37792068906192583	0.9400722239568124	-0.1223647081614179	QX1212	0.9248148867733093	MY1	0.900661996858437	FALSE
QX1792	0.009246274430927393	0.008979639237536812	-2.6663519339058033e-4	8.710251497033258e-4	0.12854185288003478	0.9683794466403163	-0.16298167174229405	NIC523	0.9210629708783974	NIC236	0.8990918029013409	FALSE
JU2838	0.0158714752751002	0.016174798953778515	3.0332367867831443e-4	8.66321814811734e-4	0.056926238484602404	0.9782608695652174	-0.21354029412388115	CB4854	NA	NA	NA	FALSE
JU2619	0.0010338768721690865	4.0511042695304223e-4	-6.287664452160443e-4	8.630858838964645e-4	8.99689346091923	0.33328218996125186	-0.07294656326994985	GXW1	NA	NA	NA	FALSE
CX11264	0.006491161335190368	0.00656844507296091	7.728373777054145e-5	7.956883271765756e-4	0.15005572854556137	0.9318181818181819	-0.2249331082719268	CX11254	0.9647043585260022	CX11262	0.9064515984813096	FALSE
XZ1516	0.004002822961924869	0.004703601914525076	7.007789526002071e-4	7.007789526002071e-4	0.20479443338586828	0.9812252964426876	-0.22956814894627517	ECA369	0.6685447833689527	MY2530	0.654396610780464	FALSE
ECA369	0.010999195583198439	0.011241632666607751	2.4243708340931092e-4	4.010843499506237e-4	0.07796846223739119	0.9792490118577075	-0.22956814894627517	XZ1516	NA	NA	NA	FALSE
QX1211	2.371881715152247e-4	8.492082231541688e-5	-1.5226734919980783e-4	2.309287872392156e-4	7.282882946921424	0.15055361809841086	-0.1769193969169017	ECA36	0.9305917146989616	ECA36	0.7628992562770267	TRUE
